,Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Cochera,Azotea,zona,con_cochera
0,860.0,3.0,90.0,2.5,San Isidro,1.0,1.0,0,7,1
1,850.0,3.0,125.0,3.0,Santiago de Surco,2.0,1.0,1,7,1
2,1100.0,1.0,70.0,1.0,San Isidro,2.0,1.0,0,7,1
3,1000.0,3.0,115.0,3.0,Santiago de Surco,2.0,1.0,0,7,1
4,486.45,3.0,95.0,2.0,Santiago de Surco,0.0,3.0,0,7,1
5,639.33,2.0,95.0,2.0,San Isidro,0.0,0.0,0,7,0
6,500.35,3.0,89.0,2.0,San Miguel,0.0,0.0,0,6,0
7,719.94,2.0,70.0,2.0,Miraflores,2.0,1.0,0,7,1
8,778.32,3.0,126.0,4.0,Santiago de Surco,0.0,1.0,0,7,1
9,500.35,3.0,75.0,2.0,Surquillo,0.0,0.0,0,8,0
10,850.0,3.0,100.0,2.0,San Borja,0.0,0.0,0,7,0
11,800.0,3.0,120.0,2.0,San Isidro,0.0,2.0,0,7,1
12,750.0,3.0,107.0,2.0,San Isidro,1.0,1.0,0,7,1
13,800.0,2.0,92.0,2.0,Miraflores,2.0,1.0,1,7,1
14,639.33,3.0,88.0,2.0,Miraflores,0.0,0.0,0,7,0
15,2150.0,2.0,102.0,2.0,San Isidro,0.0,1.0,0,7,1
16,416.96,3.0,70.0,1.0,Los Olivos,0.0,0.0,1,2,0
17,1100.0,2.0,96.0,3.0,Miraflores,2.0,1.0,0,7,1
18,444.75,1.0,50.0,1.0,Magdalena del Mar,0.0,1.0,0,6,1
19,550.0,1.0,47.0,1.0,Miraflores,2.0,1.0,1,7,1
20,1000.0,2.0,103.0,2.0,Barranco,0.0,1.0,0,8,1
21,550.0,1.0,50.0,1.0,Miraflores,2.0,1.0,0,7,1
22,750.0,3.0,110.0,2.0,San Borja,0.0,0.0,0,7,0
23,458.65,1.0,50.0,1.0,San Isidro,0.0,1.0,0,7,1
24,1200.0,2.0,100.0,3.0,Barranco,0.0,0.0,0,8,0
25,950.0,3.0,145.0,2.0,San Isidro,0.0,1.0,0,7,1
26,620.0,2.0,65.0,2.0,Surquillo,2.0,0.0,0,8,0
27,750.52,1.0,70.0,2.0,Miraflores,2.0,1.0,0,7,1
28,1150.0,3.0,130.0,2.0,Miraflores,0.0,2.0,0,7,1
29,472.55,1.0,45.0,1.0,San Isidro,2.0,1.0,0,7,1
30,790.0,1.0,65.0,1.0,Miraflores,2.0,1.0,0,7,1
31,2000.0,3.0,165.0,2.0,San Isidro,0.0,0.0,0,7,0
32,555.94,3.0,97.0,2.0,La Molina,0.0,0.0,0,7,0
34,1800.0,3.0,196.0,3.5,San Isidro,0.0,0.0,0,7,0
35,1450.0,3.0,126.0,3.0,Miraflores,0.0,0.0,0,7,0
36,650.0,1.0,47.0,1.0,Lince,2.0,1.0,0,6,1
37,611.53,2.0,80.0,2.0,Miraflores,2.0,1.0,0,7,1
38,555.94,1.0,56.0,1.0,San Isidro,0.0,0.0,0,7,0
39,750.0,3.0,110.0,2.0,Miraflores,0.0,1.0,0,7,1
40,1600.0,3.0,150.0,3.0,Miraflores,0.0,0.0,0,7,0
42,1200.0,2.0,92.0,2.0,Miraflores,2.0,1.0,0,7,1
43,333.56,2.0,70.0,1.0,Chorrillos,0.0,0.0,0,8,0
44,444.75,2.0,80.0,2.0,San Miguel,0.0,1.0,1,6,1
45,639.33,3.0,100.0,2.0,San Isidro,2.0,1.0,0,7,1
46,1150.0,2.0,82.0,1.0,Miraflores,2.0,2.0,0,7,1
47,950.0,2.0,100.0,2.0,Miraflores,1.0,1.0,0,7,1
48,900.0,2.0,90.0,3.0,Miraflores,2.0,1.0,0,7,1
49,950.0,3.0,90.0,2.0,Miraflores,0.0,1.0,0,7,1
50,900.0,2.0,74.0,2.0,Miraflores,2.0,1.0,0,7,1
51,950.0,2.0,85.0,2.0,Miraflores,2.0,1.0,0,7,1
53,680.0,3.0,95.0,3.0,Miraflores,1.0,1.0,1,7,1
54,900.0,2.0,103.0,2.0,Santiago de Surco,2.0,1.0,0,7,1
55,611.53,4.0,92.0,2.0,Pueblo Libre,1.0,1.0,1,6,1
56,1800.0,3.0,195.0,3.0,San Isidro,2.0,2.0,0,7,1
58,500.35,2.0,75.0,1.0,Pueblo Libre,2.0,0.0,0,6,0
59,1700.0,3.0,270.0,2.5,Santiago de Surco,0.0,2.0,0,7,1
60,1000.0,3.0,100.0,3.0,Santiago de Surco,0.0,2.0,1,7,1
