Precio,NCuartos,Area,NBaños,Distrito,Amoblado,Mantenimiento,Cochera,Azotea
3000.0,3,260,4,Santa Maria del Mar,Amoblado: Amoblado,350,2,si
1100.0,1,70,1,San Isidro,Amoblado: Amoblado,450,1,no
1600.0,3,180,3.5,San Isidro,,850,2,no
860.0,3,90,2.5,San Isidro,Amoblado: Semi-amoblado,350,1,no
850.0,3,125,3,Santiago de Surco,Amoblado: Amoblado,280,1,si
1000.0,3,115,3,Santiago de Surco,Amoblado: Amoblado,400,1,no
485.63,3,95,2,Santiago de Surco,Amoblado: Sin amoblar,150,3,no
638.25,2,95,2,San Isidro,Amoblado: Sin amoblar,180,,no
499.5,3,89,2,San Miguel,Amoblado: Sin amoblar,250,,no
718.73,2,70,2,Miraflores,Amoblado: Amoblado,420,1,no
777.0,3,126,4,Santiago de Surco,Amoblado: Sin amoblar,350,1,no
499.5,3,75,2,Surquillo,,200,,no
850.0,3,100,2,San Borja,,200,,no
800.0,3,120,2,San Isidro,Amoblado: Sin amoblar,380,2,no
750.0,3,107,2,San Isidro,Amoblado: Semi-amoblado,408,1,no
800.0,2,92,2,Miraflores,Amoblado: Amoblado,500,1,si
638.25,3,88,2,Miraflores,Amoblado: Sin amoblar,220,,no
2150.0,2,102,2,San Isidro,Amoblado: Sin amoblar,1,1,no
416.25,3,70,1,Los Olivos,Amoblado: Sin amoblar,,,si
1100.0,2,96,3,Miraflores,Amoblado: Amoblado,360,1,no
550.0,1,47,1,Miraflores,Amoblado: Amoblado,250,1,si
444.0,1,50,1,Magdalena del Mar,Amoblado: Sin amoblar,200,1,no
1000.0,2,103,2,Barranco,,400,1,no
550.0,1,50,1,Miraflores,Amoblado: Amoblado,230,1,no
750.0,3,110,2,San Borja,,200,,no
457.88,1,50,1,San Isidro,Amoblado: Sin amoblar,200,1,no
1200.0,2,100,3,Barranco,Amoblado: Sin amoblar,,,no
950.0,3,145,2,San Isidro,Amoblado: Sin amoblar,150,1,no
620.0,2,65,2,Surquillo,Amoblado: Amoblado,250,,no
749.25,1,70,2,Miraflores,Amoblado: Amoblado,270,1,no
